id,country_id,season,stage,date,hometeam_id,awayteam_id,home_goal,away_goal
8727,7809,2011/2012,1,2011/8/5,9789,9790,3,1
8728,7809,2011/2012,1,2011/8/6,8697,8350,2,0
8729,7809,2011/2012,1,2011/8/6,9904,8226,2,1
8730,7809,2011/2012,1,2011/8/7,9905,8178,2,0
8731,7809,2011/2012,1,2011/8/6,10269,10189,3,0
8732,7809,2011/2012,1,2011/8/6,8722,8721,0,3
8733,7809,2011/2012,1,2011/8/6,8406,8358,2,2
8734,7809,2011/2012,1,2011/8/6,8177,8165,0,1
8735,7809,2011/2012,1,2011/8/7,9823,9788,0,1
8736,7809,2011/2012,10,2011/10/22,9789,8722,5,0
8737,7809,2011/2012,10,2011/10/23,8178,10189,0,1
8738,7809,2011/2012,10,2011/10/22,9790,8721,1,1
8739,7809,2011/2012,10,2011/10/23,9904,9823,2,1
8740,7809,2011/2012,10,2011/10/22,8165,10269,2,2
8741,7809,2011/2012,10,2011/10/22,8350,8358,1,0
8742,7809,2011/2012,10,2011/10/22,8226,9788,1,0
8743,7809,2011/2012,10,2011/10/21,8406,8697,1,1
8744,7809,2011/2012,10,2011/10/22,8177,9905,0,0
8745,7809,2011/2012,11,2011/10/29,9823,8165,4,0
8746,7809,2011/2012,11,2011/10/29,10189,8226,3,1
8747,7809,2011/2012,11,2011/10/30,9790,8350,1,1
8748,7809,2011/2012,11,2011/10/29,9905,8697,1,3
8749,7809,2011/2012,11,2011/10/28,8358,8178,0,1
8750,7809,2011/2012,11,2011/10/29,10269,9789,1,1
8751,7809,2011/2012,11,2011/10/30,8722,8406,3,0
8752,7809,2011/2012,11,2011/10/29,8721,8177,2,3
8753,7809,2011/2012,11,2011/10/29,9788,9904,2,1
8754,7809,2011/2012,12,2011/11/5,9789,8721,5,1
8755,7809,2011/2012,12,2011/11/5,8697,8722,3,2
8756,7809,2011/2012,12,2011/11/5,8178,9790,2,2
8757,7809,2011/2012,12,2011/11/6,9904,10189,2,2
8758,7809,2011/2012,12,2011/11/4,9905,10269,3,1
8759,7809,2011/2012,12,2011/11/5,8165,8358,1,2
8760,7809,2011/2012,12,2011/11/5,8226,8350,1,1
8761,7809,2011/2012,12,2011/11/6,8406,9823,1,2
8762,7809,2011/2012,12,2011/11/5,8177,9788,1,2
8763,7809,2011/2012,13,2011/11/19,9823,9789,0,1
8764,7809,2011/2012,13,2011/11/19,10189,8165,4,0
8765,7809,2011/2012,13,2011/11/20,9790,8226,2,0
8766,7809,2011/2012,13,2011/11/19,8358,8177,2,2
8767,7809,2011/2012,13,2011/11/18,8350,8178,0,2
8768,7809,2011/2012,13,2011/11/20,10269,8406,2,1
8769,7809,2011/2012,13,2011/12/13,8722,9905,1,1
8770,7809,2011/2012,13,2011/11/19,8721,9904,4,1
8771,7809,2011/2012,13,2011/11/19,9788,8697,5,0
8772,7809,2011/2012,14,2011/11/26,9789,10189,2,0
8773,7809,2011/2012,14,2011/11/27,8697,10269,2,0
8774,7809,2011/2012,14,2011/11/26,9904,9790,1,1
8775,7809,2011/2012,14,2011/11/27,9905,9823,3,2
8776,7809,2011/2012,14,2011/11/26,8165,8350,1,0
8777,7809,2011/2012,14,2011/11/26,8226,8358,1,1
8778,7809,2011/2012,14,2011/11/25,8722,9788,0,3
8779,7809,2011/2012,14,2011/11/26,8406,8721,2,0
8780,7809,2011/2012,14,2011/11/26,8177,8178,3,3
8781,7809,2011/2012,15,2011/12/2,8178,8226,2,0
8782,7809,2011/2012,15,2011/12/3,9823,8697,4,1
8783,7809,2011/2012,15,2011/12/4,10189,8406,3,1
8784,7809,2011/2012,15,2011/12/4,9790,8165,2,0
8785,7809,2011/2012,15,2011/12/3,8358,9904,1,1
8786,7809,2011/2012,15,2011/12/3,8350,8177,1,1
8787,7809,2011/2012,15,2011/12/3,10269,8722,2,2
8788,7809,2011/2012,15,2011/12/3,8721,9905,2,2
8789,7809,2011/2012,15,2011/12/3,9788,9789,1,1
8790,7809,2011/2012,16,2011/12/11,9789,8350,1,1
8791,7809,2011/2012,16,2011/12/10,8697,8721,4,1
8792,7809,2011/2012,16,2011/12/10,9904,8178,0,0
8793,7809,2011/2012,16,2011/12/10,9905,9790,0,0
8794,7809,2011/2012,16,2011/12/10,8165,8226,0,2
8795,7809,2011/2012,16,2011/12/11,10269,9823,1,2
8796,7809,2011/2012,16,2011/12/10,8722,8358,4,0
8797,7809,2011/2012,16,2011/12/10,8406,9788,1,0
8798,7809,2011/2012,16,2011/12/9,8177,10189,1,2
8799,7809,2011/2012,17,2011/12/17,8178,8165,0,3
8800,7809,2011/2012,17,2011/12/16,9823,8722,3,0
8801,7809,2011/2012,17,2011/12/17,10189,8697,5,0
8802,7809,2011/2012,17,2011/12/17,9790,8406,1,1
8803,7809,2011/2012,17,2011/12/17,8358,9789,1,4
8804,7809,2011/2012,17,2011/12/18,8350,9904,1,1
8805,7809,2011/2012,17,2011/12/17,8226,8177,1,1
8806,7809,2011/2012,17,2011/12/17,8721,10269,1,0
8807,7809,2011/2012,17,2011/12/18,9788,9905,1,0
8808,7809,2011/2012,18,2012/1/22,8178,9905,3,2
8809,7809,2011/2012,18,2012/1/21,10189,10269,3,1
8810,7809,2011/2012,18,2012/1/22,9790,9789,1,5
8811,7809,2011/2012,18,2012/1/21,8165,8177,2,0
8812,7809,2011/2012,18,2012/1/21,8358,8406,1,0
8813,7809,2011/2012,18,2012/1/21,8350,8697,0,0
8814,7809,2011/2012,18,2012/1/21,8226,9904,0,0
8815,7809,2011/2012,18,2012/1/21,8721,8722,1,0
8816,7809,2011/2012,18,2012/1/20,9788,9823,3,1
8817,7809,2011/2012,19,2012/1/28,9789,8226,3,1
8818,7809,2011/2012,19,2012/1/28,9823,8721,2,0
8819,7809,2011/2012,19,2012/1/28,8697,8178,1,1
8820,7809,2011/2012,19,2012/1/27,9904,8165,1,0
8821,7809,2011/2012,19,2012/1/29,9905,8358,3,1
8822,7809,2011/2012,19,2012/1/29,10269,9788,0,3
8823,7809,2011/2012,19,2012/1/28,8722,10189,1,4
8824,7809,2011/2012,19,2012/1/28,8406,8350,2,2
8825,7809,2011/2012,19,2012/1/28,8177,9790,1,2
8826,7809,2011/2012,2,2011/8/14,8178,8697,1,0
